PARK,VALUE_11,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_31,VALUE_41,VALUE_42,VALUE_43,VALUE_52,VALUE_71,VALUE_81,VALUE_90,VALUE_95
Carkeek Park,2712494.575000000186265,3962179.575625000055879,3458430.583124999888241,3933117.133750000037253,523123.953749999986030,232499.535000000003492,135624.728750000009313,387499.224999999976717,3284055.931875000242144,0.000000000000000,0.000000000000000,0.000000000000000,1675934.148125000065193,9687.480625000000146
Cheasty Greenspace,0.000000000000000,4795302.909374999813735,1918121.163750000065193,3874992.250000000000000,503748.992499999993015,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Discovery Park,10743416.013125000521541,8457170.585625000298023,8214983.570000000298023,6577799.344375000335276,1046247.907499999972060,474686.550625000032596,3109681.280625000130385,736248.527499999967404,5512176.475624999962747,590936.318124999990687,19374.961250000000291,2673744.652499999850988,900935.698124999995343,474686.550625000032596
Genesee Park,2150620.698749999981374,1114060.271875000093132,2063433.373124999925494,3061243.877499999944121,9687.480625000000146,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Golden Gardens,4640303.219375000335276,1821246.357499999925494,2073120.853750000009313,2150620.698749999981374,242187.015625000000000,19374.961250000000291,9687.480625000000146,319686.860625000030268,629686.240624999976717,0.000000000000000,0.000000000000000,0.000000000000000,38749.922500000000582,9687.480625000000146
Lake Forest Park,1869683.760625000111759,96874.806249999994179,1143122.713750000111759,1094685.310624999925494,513436.473125000018626,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Lincoln Park,3884679.730624999850988,1859996.280000000027940,2199058.101875000167638,3681242.637500000186265,96874.806249999994179,213124.573750000010477,0.000000000000000,2567182.365625000093132,184062.131874999991851,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,38749.922500000000582
Magnuson Park,8166546.166875000111759,5744676.010625000111759,5725301.049375000409782,4378741.242499999701977,1123747.752499999944121,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,9687.480625000000146,0.000000000000000,29062.441875000000437,0.000000000000000,9687.480625000000146
Seward Park,9997480.005000000819564,1763121.473750000121072,1404684.690625000046566,668436.163124999962747,0.000000000000000,0.000000000000000,0.000000000000000,4998740.002500000409782,1307809.884374999906868,29062.441875000000437,9687.480625000000146,0.000000000000000,9687.480625000000146,58124.883750000000873
Washington Park Arboretum,0.000000000000000,7391547.716874999925494,3564992.870000000111759,1811558.876875000074506,0.000000000000000,0.000000000000000,0.000000000000000,184062.131874999991851,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
